#,Name,Description,PMID
64,AATripletThirdProbWild,Probability of seeing the amino acid in position 3 of a triplet,21685053
65,AATripletFirstDiffProb,Difference in probability of occurrence of reference and mutation amino acid residue in the 1st position.,21685053
66,AATripletSecondDiffProb,Difference in probability of occurrence of reference and mutation amino acid residue in the 2nd position.,21685053
67,AATripletThirdDiffProb,Difference in probability of occurrence of reference and mutation amino acid residue in the 3rd position.,21685053
68,UniprotACTSITE,Sites involved in enzymatic activity,21685053
69,UniprotBINDING,Binding sites,21685053
70,UniprotCABIND,Calcium binding site,21685053
71,UniprotCARBOHYD,Carbohydrate binding site,21685053
72,UniprotCOMPBIAS,Compositionally biased region,21685053
73,UniprotDISULFID,Site of disulfide bond,21685053
74,UniprotDNABIND,DNA binding site,21685053
75,UniprotDOM_Chrom,Site in a domain involved in chromatin structure remodeling,21685053
76,UniprotDOM_LOC,Site in a domain that determines correct cellular localization of a protein,21685053
77,UniprotDOM_MMBRBD,Site in a domain that binds to the cell membrane,21685053
78,UniprotDOM_PostModEnz,Site in an enzymatic domain responsible for any kind of post-translational modification,21685053
79,UniprotDOM_PostModRec,Site in a domain that recognizes a posttranslationally modified residue,21685053
80,UniprotDOM_PPI,Site in a protein-protein interaction domain,21685053
81,UniprotDOM_RNABD,Site in an RNA binding domain,21685053
82,UniprotDOM_TF,Site in a transcription factor doman,21685053
83,UniprotLIPID,Lipid binding site,21685053
84,UniprotMETAL,Metal binding site,21685053
85,UniprotMODRES,Site of modified residue,21685053
86,UniprotMOTIF,Site of known functional motif,21685053
87,UniprotNPBIND,Nucleotide phosphatebinding region,21685053
88,UniprotPROPEP,Site in the propeptide (cleaved in mature protein),21685053
89,UniprotREGIONS,Region of interest in the protein sequence,21685053
90,UniprotREP,Repeat region,21685053
91,UniprotSECYS,Site of a selenocystein,21685053
92,UniprotSIGNAL,Site of localization signal (protein targeted to secretory pathway or periplasm),21685053
93,UniprotSITE,An interesting amino acid site in the protein sequence,21685053
94,UniprotTRANSMEM,Transmembrane region,21685053
95,UniprotZNFINGER,Site in a zinc finger,21685053
